model,feature_set,n_samples,n_classes,accuracy,balanced_accuracy,macro_f1,top3_accuracy
majority,baseline,5102,10,0.2034496275970208,0.1,0.033811074918566775,0.5227361818894551
actor_markov,actor_word_only,5102,10,0.18463347706781655,0.09677282645774274,0.06141963189801104,0.5205801646413172
actor_history_markov,actor_word+previous_response,5102,10,0.4484515876127009,0.3818743033064048,0.41242652707801764,0.6407291258330067
actor_immediate_markov,actor_word+immediate_other_word,5102,10,0.7085456683653469,0.6626414556077387,0.7403506721797182,0.8098784790278323
logistic_actor_only,actor_only,5102,10,0.09349274794198353,0.11696321876564919,0.09147602120291609,0.31458251666013326
hist_gbdt_actor_only,actor_only,5102,10,0.1658173265386123,0.10381121439508822,0.09550558395254206,0.44100352802822423
random_forest_actor_only,actor_only,5102,10,0.09662877303018425,0.10752499657207704,0.0911135734904835,0.33810270482163857
xgboost_actor_only,actor_only,5102,10,0.18149745197961584,0.10166237223788491,0.07627507826614711,0.49313994511956094
logistic_actor_history,actor_history,5102,10,0.4266954135633085,0.42471638273960455,0.3899876585219097,0.6052528420227362
hist_gbdt_actor_history,actor_history,5102,10,0.4419835358682869,0.3758920847314243,0.40129737131910226,0.6564092512740102
random_forest_actor_history,actor_history,5102,10,0.43982751862014896,0.40823142366811904,0.39754873651602896,0.6285770286162289
xgboost_actor_history,actor_history,5102,10,0.47001176009408074,0.40296475986732466,0.42928268912394535,0.6767934143473148
logistic_observed_immediate,observed_immediate,5102,10,0.7481379851038809,0.7466673625256173,0.7024182864931411,0.8261466091728734
hist_gbdt_observed_immediate,observed_immediate,5102,10,0.7477459819678557,0.7175035463576753,0.7570519735265098,0.8386907095256763
random_forest_observed_immediate,observed_immediate,5102,10,0.7589180713445708,0.7507533180681345,0.7313542790913765,0.8228145825166602
xgboost_observed_immediate,observed_immediate,5102,10,0.7706781654253234,0.7391742582000097,0.7785140695172228,0.8606428851430812
