session_label,dyad_id,order,from_actor_slot,to_actor_slot,actor_word,other_word_same_window,response_word,prev_actor_word,window_index,response_window_index
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW01,IW08,IW08,8,9
20260504_183351_order1,dyad_001,1,person_B,person_A,IW01,IW01,IW01,IW07,29,30
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW11,IW06,IW01,31,32
20260504_183351_order1,dyad_001,1,person_B,person_A,IW01,IW01,IW01,IW07,40,41
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW07,IW08,IW01,42,43
20260504_183351_order1,dyad_001,1,person_B,person_A,IW07,IW01,IW01,IW04,62,63
20260504_183351_order1,dyad_001,1,person_A,person_B,IW08,IW01,IW01,IW01,68,69
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW07,IW10,IW01,78,79
20260504_183351_order1,dyad_001,1,person_B,person_A,IW10,IW01,IW01,IW01,79,80
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW04,IW07,IW10,80,81
20260504_183351_order1,dyad_001,1,person_B,person_A,IW06,IW01,IW01,IW05,83,84
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW01,IW06,IW01,86,87
20260504_183351_order1,dyad_001,1,person_B,person_A,IW04,IW01,IW01,IW01,94,95
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW01,IW01,IW01,97,98
20260504_183351_order1,dyad_001,1,person_B,person_A,IW06,IW08,IW01,IW11,100,101
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW06,IW05,IW06,101,102
20260504_183351_order1,dyad_001,1,person_B,person_A,IW04,IW11,IW01,IW05,103,104
20260504_183351_order1,dyad_001,1,person_A,person_B,IW11,IW01,IW11,IW05,108,109
20260504_183351_order1,dyad_001,1,person_B,person_A,IW01,IW01,IW01,IW01,118,119
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW08,IW01,IW01,119,120
20260504_183351_order1,dyad_001,1,person_B,person_A,IW06,IW02,IW01,IW01,122,123
20260504_183351_order1,dyad_001,1,person_A,person_B,IW01,IW01,IW11,IW06,123,124
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW04,IW06,IW01,4,5
20260504_183529_order2,dyad_001,2,person_B,person_A,IW06,IW02,IW01,IW06,6,7
20260504_183529_order2,dyad_001,2,person_A,person_B,IW09,IW08,IW08,IW03,9,10
20260504_183529_order2,dyad_001,2,person_B,person_A,IW06,IW00,IW01,IW08,11,12
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW11,IW04,IW06,12,13
20260504_183529_order2,dyad_001,2,person_B,person_A,IW01,IW01,IW01,IW07,15,16
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW01,IW11,IW01,17,18
20260504_183529_order2,dyad_001,2,person_B,person_A,IW01,IW01,IW01,IW06,21,22
20260504_183529_order2,dyad_001,2,person_A,person_B,IW11,IW01,IW05,IW03,25,26
20260504_183529_order2,dyad_001,2,person_B,person_A,IW01,IW01,IW01,IW01,31,32
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW07,IW04,IW01,35,36
20260504_183529_order2,dyad_001,2,person_B,person_A,IW07,IW06,IW01,IW06,47,48
20260504_183529_order2,dyad_001,2,person_A,person_B,IW08,IW07,IW01,IW01,49,50
20260504_183529_order2,dyad_001,2,person_B,person_A,IW10,IW11,IW01,IW01,51,52
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW05,IW05,IW01,55,56
20260504_183529_order2,dyad_001,2,person_B,person_A,IW02,IW11,IW01,IW09,69,70
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW01,IW01,IW02,70,71
20260504_183529_order2,dyad_001,2,person_B,person_A,IW10,IW11,IW11,IW01,72,73
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW01,IW05,IW11,74,75
20260504_183529_order2,dyad_001,2,person_B,person_A,IW08,IW01,IW01,IW01,82,83
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW01,IW01,IW01,85,86
20260504_183529_order2,dyad_001,2,person_B,person_A,IW01,IW01,IW01,IW01,86,87
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW02,IW02,IW01,89,90
20260504_183529_order2,dyad_001,2,person_B,person_A,IW02,IW01,IW01,IW01,90,91
20260504_183529_order2,dyad_001,2,person_A,person_B,IW08,IW05,IW05,IW01,92,93
20260504_183529_order2,dyad_001,2,person_B,person_A,IW08,IW01,IW01,IW05,94,95
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW11,IW01,IW01,96,97
20260504_183529_order2,dyad_001,2,person_B,person_A,IW08,IW11,IW01,IW07,105,106
20260504_183529_order2,dyad_001,2,person_A,person_B,IW01,IW01,IW01,IW06,122,123
