contrast,feature,n_dyads,mean_diff,median_diff,effect_size_dz,ci95_low,ci95_high,p_value,q_value,confidence,interpretation_note
order4_vs_order2,activity_state_entropy_mean,11,0.05079028960368796,0.012451046650464814,0.38675207777266907,-0.02214090332532054,0.13410138487932344,0.2783203125,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,activity_state_entropy_mean,11,0.025395144801844193,0.006225523325232556,0.38675207777267206,-0.011070451662660092,0.06705069243966195,0.2783203125,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,closest_hand_to_other_head_mean_mean,11,-0.018355791494912285,-0.020307688600748497,-0.34508866759678425,-0.047984086239574675,0.01560711267031571,0.2783203125,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,closest_hand_to_other_head_mean_mean,11,-0.019464768644745025,-0.02141959333661647,-0.3922758497408405,-0.049443792009472465,0.010415703692540731,0.1474609375,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,closest_hand_to_other_head_mean_mean,11,-0.009732384322372415,-0.010709796668308099,-0.39227584974083635,-0.024721896004736142,0.00520785184627047,0.1474609375,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,closest_hand_to_other_head_min_mean,11,-0.022917946536588574,-0.02758764494944932,-0.4249579110152639,-0.05346120783305252,0.011252745811479186,0.240234375,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,closest_hand_to_other_head_min_mean,11,-0.020834597450853646,-0.02507211026709677,-0.388686645070981,-0.052947534355605196,0.011142499152521294,0.240234375,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,closest_hand_to_other_head_min_mean,11,-0.010417298725426745,-0.012536055133548302,-0.3886866450709778,-0.026473767177802553,0.005571249576260728,0.240234375,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,hand_to_hand_min_mean_mean,11,-0.028339761141111086,-0.04052104075953478,-0.40587974377672376,-0.0701720018127465,0.01580308350949408,0.2783203125,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,hand_to_hand_min_mean_mean,11,-0.03737439250752777,-0.02550108979572585,-0.5361215782369297,-0.0798200777026062,0.0008158840987385137,0.1748046875,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,hand_to_hand_min_mean_mean,11,-0.0186871962537638,-0.012750544897862811,-0.5361215782369274,-0.039910038851303016,0.0004079420493693337,0.1748046875,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,motion_energy_absdiff_mean_mean,11,0.011485432678050715,0.00599401532195229,0.4744006372255918,-0.0034379830591296542,0.025516400447410575,0.123046875,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,motion_energy_absdiff_mean_mean,11,0.0057427163390253826,0.0029970076609761704,0.47440063722559356,-0.001718991529564807,0.012758200223705319,0.123046875,0.6422776442307693,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,mutual_gaze_ratio_mean,11,0.029725666332834157,0.01896080497087556,0.49622302929830436,-0.0075434175038335185,0.06456787807229643,0.1748046875,0.6422776442307693,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,pair_motion_energy_max_mean,11,0.0441310367500677,0.06983611246222826,0.45044585880576293,-0.01913808718166387,0.09915821718476202,0.1474609375,0.6422776442307693,weak/exploratory,Late competitive order minus early competitive order.
