word_id,word,description,window_count,prevalence,mean_order,prevalence_order1,prevalence_order2,prevalence_order3,prevalence_order4,centroid_motion_energy_mean,centroid_motion_energy_max,centroid_motion_active_ratio,centroid_motion_burst_count,centroid_left_wrist_speed_mean,centroid_right_wrist_speed_mean,centroid_dominant_hand_speed_mean,centroid_left_hand_to_other_head_mean,centroid_right_hand_to_other_head_mean,centroid_closest_hand_to_other_head_mean,centroid_closest_hand_to_other_head_min,centroid_left_hand_reach_delta,centroid_right_hand_reach_delta,centroid_closest_hand_reach_delta,centroid_partner_gaze_ratio,centroid_task_gaze_ratio,centroid_gaze_switch_rate,centroid_root_distance_mean,centroid_partner_active_ratio
0,IW00,moderate body motion; brief/intermittent active; balanced hands; right hand moves toward partner; task-directed gaze; partner mostly passive,649,0.030216966197970017,2.642526964560863,0.02515047291487532,0.034117257369990064,0.031754574811625406,0.029411764705882353,0.2789230385680793,0.7009808776013997,0.49713959107911876,2.2411167512690353,0.5447994453288845,0.5659822436333286,0.7883174316639547,0.6947232623454972,0.656364405946659,0.6059239151830774,0.4849016738511053,-0.04083505536640035,-0.24778735361666968,-0.17109116887763004,0.3418842638965127,0.6194342534902014,1.4539969116921823,0.8337402615457127,0.4229574721403236
1,IW01,moderate body motion; brief/intermittent active; balanced hands; partner-directed gaze; partner mostly passive,12842,0.597914144706211,2.588926958417692,0.6558469475494411,0.5771778734680357,0.5376749192680301,0.6091628959276018,0.2127997907799186,0.48208035657618536,0.3144886511669991,1.9049547725124882,0.39766672490007815,0.4800149374202848,0.5522419540438824,0.7045418552855097,0.684587528847595,0.6504728295112612,0.5902396255918546,-0.003653530611454519,0.0015593594159884687,-0.002566776346117758,0.35023301846471444,0.5752424037179037,1.480616439882729,0.8428685094812441,0.35790583535716963
2,IW02,high body motion; brief/intermittent active; balanced hands; left hand withdraws; task-directed gaze; partner mostly passive,873,0.04064624266691498,2.6552119129438716,0.034393809114359415,0.04339185160649221,0.045748116254036596,0.0397341628959276,0.2917948776261887,0.6517120222403652,0.5070422346811486,2.1970954356846475,0.5343861988498143,0.5935495222109424,0.8336185405915436,0.69512877505557,0.6540658871922801,0.5998073269096463,0.47732412539103297,0.044424803246421445,0.2375985277740105,0.1693614146539459,0.3489171951687739,0.6322287382304521,1.4048704278014577,0.8285479858745429,0.41099559491630566
3,IW03,high body motion; brief/intermittent active; right-hand dominant; right hand moves toward partner; partner-directed gaze; partner mostly passive,185,0.008613464940869727,2.691891891891892,0.0060189165950128975,0.010102683007618418,0.00968783638320775,0.008484162895927601,0.33878123217102357,0.7716945514666808,0.6228434823573474,2.5511811023622046,0.6121710656747408,1.1656275680400139,1.2656166132752116,0.742735523481021,0.8151210894531902,0.6826384236645051,0.5215765486819768,-0.04274701241084421,-0.4997857948956591,-0.2465982703455497,0.391118704225517,0.5982576313969672,1.6485095957462477,0.8674596466948884,0.43798109963121945
4,IW04,high body motion; brief/intermittent active; balanced hands; right hand moves toward partner; task-directed gaze; partner mostly passive,671,0.031241270136884252,2.6676602086438153,0.028589853826311264,0.028155018217952965,0.04171151776103337,0.030118778280542987,0.29229883396707823,0.6417817793703742,0.4940866919986277,2.210191082802548,0.5570047269053876,0.5456189426961947,0.7965777403025612,0.6631805697580905,0.6200062408122469,0.5803960013332041,0.49433992294512813,0.009198171283884397,-0.10134028088631832,-0.07175611389917763,0.31288032925667913,0.5570420450806772,1.463516487511719,0.8068448487361887,0.4037900239139508
5,IW05,high body motion; brief/intermittent active; left-hand dominant; partner-directed gaze; partner mostly passive,346,0.016109507402923922,2.468208092485549,0.018056749785038694,0.017886717456111294,0.016684607104413347,0.013009049773755657,0.3506106956167123,0.7752515462994809,0.5652193413321265,2.1815181518151814,0.9452915843582244,0.4741149346882903,1.0104870334263865,0.6815638297373766,0.6642552465403901,0.585177934899821,0.45582902328087455,0.3927429993630281,0.004935164927759418,0.2045790017337177,0.39141105154736944,0.6122813526243001,1.4709847939499585,0.8035963599791274,0.41410964470657396
6,IW06,moderate body motion; brief/intermittent active; balanced hands; left hand withdraws; task-directed gaze; partner mostly passive,1433,0.0667194338392774,2.713886950453594,0.05717970765262253,0.06177542232527327,0.08046286329386437,0.06999434389140272,0.2610353276294495,0.5867559338541763,0.43556785673347337,2.2880921895006403,0.47408369339151946,0.5131508744630899,0.7217540308270094,0.6821467189725993,0.6441828546542371,0.5916527111799533,0.510228756431795,0.031073313346243008,0.11099970603579536,0.08428909089818791,0.3042951963081397,0.6062781945936372,1.3708776563715988,0.8130592201430339,0.38554645068681226
7,IW07,moderate body motion; brief/intermittent active; balanced hands; right hand moves toward partner; task-directed gaze; partner mostly passive,1156,0.053822516062948134,2.7058823529411766,0.04363714531384351,0.052500828088771115,0.06808396124865447,0.05415723981900453,0.2427271084468283,0.5417040122486839,0.3830391428217515,2.1515151515151514,0.4252310190267511,0.418445542708741,0.6108754031211987,0.6860544141237552,0.6552587067709775,0.6028164182903846,0.5409001825249486,-0.02829220955914319,-0.05571487583128318,-0.04712221942234903,0.34989687305095435,0.619490223876189,1.2823161631914581,0.8141324501225761,0.41417875383931824
8,IW08,high body motion; brief/intermittent active; left-hand dominant; left hand moves toward partner; partner-directed gaze; partner mostly passive,1013,0.04716454046000559,2.5972359328726555,0.0412725709372313,0.054985094402119905,0.048708288482238966,0.04355203619909502,0.2928430213197167,0.6739633710771142,0.4841360910009419,2.2908777969018934,0.7520635579800008,0.5447635634017709,0.8563362053043214,0.6752133032467956,0.6809819365966857,0.6022078972287768,0.4886652505283632,-0.27374835752955645,0.0020870586313334683,-0.16312449821053032,0.36360318590281954,0.6117062122248085,1.3876156326772753,0.8113334118918072,0.41400177447060627
9,IW09,high body motion; brief/intermittent active; right-hand dominant; left hand withdraws; partner-directed gaze; partner mostly passive,217,0.010103361579290437,2.6635944700460827,0.007953568357695616,0.010765154024511428,0.01318622174381055,0.009332579185520362,0.3289522630826219,0.7427305639788155,0.5399074642863463,2.197278911564626,0.4274641149969982,0.9853689585663743,1.0802312795796452,0.7136166265663585,0.7190640618167957,0.6132360180549112,0.44780558625807576,0.026824941048727475,0.47400175291261926,0.25874219135579096,0.4002436356680664,0.6811198409749134,1.3679595025446365,0.8286209038052985,0.43867439209054104
