window_size_s,feature_set,target,model,status,n_samples,n_classes,accuracy,macro_f1,weighted_f1,roc_auc,reason
1.0,combined,condition,dummy_most_frequent,ok,7354.0,2.0,0.7079140603753059,0.4144904458598726,0.5868472290308667,0.5,
1.0,combined,condition,logistic_regression,ok,7354.0,2.0,0.49143323361435953,0.47502826613479227,0.5136177973290359,0.5188155802179265,
1.0,combined,condition,random_forest,ok,7354.0,2.0,0.659641011694316,0.5891015462226166,0.6598956668043222,0.6112519861411879,
1.0,combined,condition,linear_svm,ok,7354.0,2.0,0.4889855860756051,0.4730720878144675,0.5111499263767202,0.509219236363142,
1.0,combined,session_number,dummy_most_frequent,ok,7354.0,4.0,0.12523796573293447,0.07627502634224678,0.0886839412087134,0.39970121293606775,
1.0,combined,session_number,logistic_regression,ok,7354.0,4.0,0.3105792765841719,0.294986831954007,0.30892861604261435,0.5534728889507959,
1.0,combined,session_number,random_forest,ok,7354.0,4.0,0.3479738917595866,0.3187698241380492,0.3419197742015744,0.5760447906600181,
1.0,combined,session_number,linear_svm,ok,7354.0,4.0,0.3001087843350558,0.276139132402037,0.2930428291857499,,
1.0,gaze,condition,dummy_most_frequent,ok,7354.0,2.0,0.7079140603753059,0.4144904458598726,0.5868472290308667,0.5,
1.0,gaze,condition,logistic_regression,ok,7354.0,2.0,0.5437856948599402,0.5242285048845183,0.5643397637341763,0.5706123717727217,
1.0,gaze,condition,random_forest,ok,7354.0,2.0,0.6465868914876258,0.5787564894166487,0.6490463469337778,0.59979988353218,
1.0,gaze,condition,linear_svm,ok,7354.0,2.0,0.5342670655425619,0.5167274048387602,0.5550116892300703,0.5661182019600647,
1.0,gaze,session_number,dummy_most_frequent,ok,7354.0,4.0,0.12523796573293447,0.07627502634224678,0.0886839412087134,0.39970121293606775,
1.0,gaze,session_number,logistic_regression,ok,7354.0,4.0,0.3326081044329616,0.30975739817755116,0.3330010129801689,0.554360260326364,
1.0,gaze,session_number,random_forest,ok,7354.0,4.0,0.2982050584715801,0.28389408865848237,0.2978362224923745,0.5262344484166791,
1.0,gaze,session_number,linear_svm,ok,7354.0,4.0,0.3417187924938809,0.3020628209503693,0.3299720873628666,,
1.0,pose,condition,dummy_most_frequent,ok,7354.0,2.0,0.7079140603753059,0.4144904458598726,0.5868472290308667,0.5,
1.0,pose,condition,logistic_regression,ok,7354.0,2.0,0.5437856948599402,0.5236770316031283,0.5643734526748231,0.5800606269374043,
1.0,pose,condition,random_forest,ok,7354.0,2.0,0.7066902366059288,0.6209867714102355,0.695931351498434,0.6125023340065288,
1.0,pose,condition,linear_svm,ok,7354.0,2.0,0.5378025564318738,0.5189187163662854,0.5585527471971498,0.5800292385737413,
1.0,pose,session_number,dummy_most_frequent,ok,7354.0,4.0,0.12523796573293447,0.07627502634224678,0.0886839412087134,0.39970121293606775,
1.0,pose,session_number,logistic_regression,ok,7354.0,4.0,0.35123742181125917,0.3302293259693371,0.34716131265532835,0.5900278387632061,
1.0,pose,session_number,random_forest,ok,7354.0,4.0,0.3357356540658145,0.31568851419240673,0.3312459795230261,0.5608728399570493,
1.0,pose,session_number,linear_svm,ok,7354.0,4.0,0.36116399238509656,0.3248861923134907,0.34627492724187175,,
1.0,combined,pair_identity,not_applicable_lopo,not_applicable,,,,,,,"Leave-One-Pair-Out holds out the entire target class, so pair identity classification is undefined under the requested leakage-safe split."
1.0,combined,pair_identity_session_group_control,dummy_most_frequent,ok,7354.0,11.0,0.0,0.0,0.0,0.4464627151051625,
1.0,combined,pair_identity_session_group_control,random_forest,ok,7354.0,11.0,0.6603209137884145,0.6070525967991138,0.6491229686660792,0.9240668463039214,
1.0,combined,condition_shuffled_label_sanity,logistic_regression,ok,7354.0,2.0,0.500407941256459,0.47564921958886897,0.5230285505397391,0.49557441957460624,
1.0,combined,condition_shuffled_label_sanity,random_forest,ok,7354.0,2.0,0.7079140603753059,0.4144904458598726,0.5868472290308667,0.4974046026251045,
2.0,combined,condition,dummy_most_frequent,ok,3668.0,2.0,0.707742639040349,0.4144316730523627,0.5866219319759726,0.5,
2.0,combined,condition,logistic_regression,ok,3668.0,2.0,0.4888222464558342,0.4700133924205789,0.5114963063854547,0.5097530931628452,
2.0,combined,condition,random_forest,ok,3668.0,2.0,0.6810250817884406,0.6008403673984475,0.6751721829278571,0.6028735367844905,
2.0,combined,condition,linear_svm,ok,3668.0,2.0,0.4708287895310796,0.45306735196991266,0.4940180794180494,0.49256965365775135,
2.0,combined,session_number,dummy_most_frequent,ok,3668.0,4.0,0.12486368593238822,0.07602834948412354,0.0884342719538433,0.3994264521623345,
2.0,combined,session_number,logistic_regression,ok,3668.0,4.0,0.30288985823336967,0.2914851906314041,0.3031725207226458,0.5544618926258991,
2.0,combined,session_number,random_forest,ok,3668.0,4.0,0.32906215921483095,0.3037708413097101,0.3241371088087659,0.5610275148026979,
2.0,combined,session_number,linear_svm,ok,3668.0,4.0,0.2906215921483097,0.2707981412641499,0.2855387019939342,,
2.0,gaze,condition,dummy_most_frequent,ok,3668.0,2.0,0.707742639040349,0.4144316730523627,0.5866219319759726,0.5,
2.0,gaze,condition,logistic_regression,ok,3668.0,2.0,0.5425299890948746,0.5208634339066143,0.563196549428292,0.5646948232642642,
2.0,gaze,condition,random_forest,ok,3668.0,2.0,0.6613958560523446,0.5880187232318556,0.6602582260861355,0.6082916024653313,
2.0,gaze,condition,linear_svm,ok,3668.0,2.0,0.5209923664122137,0.5035780763819537,0.5422089031739716,0.5518273664420578,
2.0,gaze,session_number,dummy_most_frequent,ok,3668.0,4.0,0.12486368593238822,0.07602834948412354,0.0884342719538433,0.3994264521623345,
2.0,gaze,session_number,logistic_regression,ok,3668.0,4.0,0.3249727371864776,0.3063198023177899,0.3279091580145285,0.5522344428799237,
2.0,gaze,session_number,random_forest,ok,3668.0,4.0,0.3058887677208288,0.28885027896564847,0.3043190413614694,0.5350808025923376,
2.0,gaze,session_number,linear_svm,ok,3668.0,4.0,0.3276990185387132,0.2924076181536343,0.3187770552265023,,
2.0,pose,condition,dummy_most_frequent,ok,3668.0,2.0,0.707742639040349,0.4144316730523627,0.5866219319759726,0.5,
2.0,pose,condition,logistic_regression,ok,3668.0,2.0,0.531897491821156,0.5096677793034914,0.5530456050101761,0.562102574569372,
2.0,pose,condition,random_forest,ok,3668.0,2.0,0.7115594329334788,0.6099692055349634,0.6926740701478572,0.6070120075661753,
2.0,pose,condition,linear_svm,ok,3668.0,2.0,0.5308069792802618,0.50888245385592,0.5519959722387545,0.5609225156957892,
2.0,pose,session_number,dummy_most_frequent,ok,3668.0,4.0,0.12486368593238822,0.07602834948412354,0.0884342719538433,0.3994264521623345,
2.0,pose,session_number,logistic_regression,ok,3668.0,4.0,0.34487459105779716,0.3275547481801319,0.34285266974307366,0.5863493012631426,
2.0,pose,session_number,random_forest,ok,3668.0,4.0,0.3271537622682661,0.30656598832548565,0.3227589648647907,0.5632834723444824,
2.0,pose,session_number,linear_svm,ok,3668.0,4.0,0.34432933478735006,0.31450929579641534,0.33387247844296813,,
2.0,combined,pair_identity,not_applicable_lopo,not_applicable,,,,,,,"Leave-One-Pair-Out holds out the entire target class, so pair identity classification is undefined under the requested leakage-safe split."
2.0,combined,pair_identity_session_group_control,dummy_most_frequent,ok,3668.0,11.0,0.0,0.0,0.0,0.4464420563462097,
2.0,combined,pair_identity_session_group_control,random_forest,ok,3668.0,11.0,0.7044711014176663,0.6593308211215995,0.6956096170299125,0.9396335196961492,
2.0,combined,condition_shuffled_label_sanity,logistic_regression,ok,3668.0,2.0,0.504907306434024,0.4668495410212278,0.5260332496835762,0.48329807051031437,
2.0,combined,condition_shuffled_label_sanity,random_forest,ok,3668.0,2.0,0.707742639040349,0.4144316730523627,0.5866219319759726,0.49704302543522755,
5.0,combined,condition,dummy_most_frequent,ok,1455.0,2.0,0.7072164948453609,0.4142512077294686,0.5859305742317844,0.5,
5.0,combined,condition,logistic_regression,ok,1455.0,2.0,0.4948453608247423,0.468830665048792,0.5175476263931957,0.5084566355046378,
5.0,combined,condition,random_forest,ok,1455.0,2.0,0.6996563573883161,0.6138096449953201,0.6892696560346445,0.6190270876962455,
5.0,combined,condition,linear_svm,ok,1455.0,2.0,0.4756013745704467,0.4548311234358803,0.4989313397532873,0.4852219895335734,
5.0,combined,session_number,dummy_most_frequent,ok,1455.0,4.0,0.12371134020618557,0.07526111028904015,0.08762676842718672,0.398620143790321,
5.0,combined,session_number,logistic_regression,ok,1455.0,4.0,0.3024054982817869,0.2894913996520786,0.30408944201905375,0.5436555848397402,
5.0,combined,session_number,random_forest,ok,1455.0,4.0,0.32920962199312714,0.3014569765259684,0.3218191956427312,0.5576668791397487,
5.0,combined,session_number,linear_svm,ok,1455.0,4.0,0.28865979381443296,0.27050220338338204,0.28507516126423693,,
5.0,gaze,condition,dummy_most_frequent,ok,1455.0,2.0,0.7072164948453609,0.4142512077294686,0.5859305742317844,0.5,
5.0,gaze,condition,logistic_regression,ok,1455.0,2.0,0.5615120274914089,0.5306679420960455,0.5805311686199173,0.5635354074560743,
5.0,gaze,condition,random_forest,ok,1455.0,2.0,0.688659793814433,0.6145483487828227,0.6845941189302537,0.6187738676959718,
5.0,gaze,condition,linear_svm,ok,1455.0,2.0,0.5257731958762887,0.5027626772115286,0.5470928457573764,0.5430747751817024,
5.0,gaze,session_number,dummy_most_frequent,ok,1455.0,4.0,0.12371134020618557,0.07526111028904015,0.08762676842718672,0.398620143790321,
5.0,gaze,session_number,logistic_regression,ok,1455.0,4.0,0.3154639175257732,0.30575197330487136,0.3230944766583255,0.5503640084851361,
5.0,gaze,session_number,random_forest,ok,1455.0,4.0,0.30859106529209623,0.28942118069650924,0.3016019135280153,0.5318857508481767,
5.0,gaze,session_number,linear_svm,ok,1455.0,4.0,0.3147766323024055,0.28760106020557324,0.3109922627585314,,
5.0,pose,condition,dummy_most_frequent,ok,1455.0,2.0,0.7072164948453609,0.4142512077294686,0.5859305742317844,0.5,
5.0,pose,condition,logistic_regression,ok,1455.0,2.0,0.5278350515463918,0.5032004687758598,0.5490481644876831,0.546895887798446,
5.0,pose,condition,random_forest,ok,1455.0,2.0,0.7065292096219932,0.6070803142674461,0.6890033797029541,0.6173298293160322,
