feature,importance_mean,importance_std,window_size_s,model
p1_gaze_pitch_max,0.010265646802030395,0.0015934815450981907,5.0,random_forest
frame_gaze_valid_transition_count,0.010219111994271843,0.001800065177546908,5.0,random_forest
frame_pose_valid_ratio,0.009381867606809627,0.0031375134245321635,5.0,random_forest
frame_gaze_valid_count,0.009348100125195482,0.0030248664233746016,5.0,random_forest
p1_task_gaze_count,0.007890108250256564,0.0014409608645503634,5.0,random_forest
p2_gaze_yaw_min,0.007801152915579784,0.0033860196070166055,5.0,random_forest
root_distance_max,0.007726136935647156,0.003119459801325643,5.0,random_forest
p1_task_gaze_angle_max,0.007550093699507173,0.0023075643469796744,5.0,random_forest
frame_interaction_valid_count,0.0074692646816748864,0.0028243462755624615,5.0,random_forest
frame_pose_valid_count,0.007435578087973044,0.0024600772463202647,5.0,random_forest
p2_gaze_pitch_max,0.007431589138189476,0.0020330301645527017,5.0,random_forest
hand_to_hand_min_min,0.005636538652023422,0.0028076664137858757,5.0,random_forest
frame_interaction_valid_ratio,0.005622575590026935,0.003045391195737898,5.0,random_forest
p2_motion_speed_std,0.004991998054027409,0.0016507462422155929,5.0,random_forest
p1_gaze_pitch_min,0.004824399843579778,0.0008026324415926148,5.0,random_forest
root_horizontal_distance_max,0.004588893688170985,0.002183866570441196,5.0,random_forest
p2_gaze_category_table_task_ratio,0.00440634957315313,0.002215131894382267,5.0,random_forest
p2_motion_energy_max,0.004211509041300345,0.0007371337194985569,5.0,random_forest
body_orientation_difference_rad_max,0.0040186252741018225,0.001156454941513496,5.0,random_forest
p1_gaze_category_away_unknown_ratio,0.0038918156004171625,0.001039309934556881,5.0,random_forest
root_horizontal_distance_mean,0.0038566279121160876,0.001905793349694435,5.0,random_forest
p2_closest_hand_to_other_head_max,0.00374328883544243,0.0011217471735953065,5.0,random_forest
root_distance_mean,0.0037202453254946235,0.0011808346086627254,5.0,random_forest
gaze_switch_rate_mean,0.003540134696646463,0.0014582361414352547,5.0,random_forest
p2_gaze_switch_rate,0.003305731688447583,0.001299130923080204,5.0,random_forest
p1_partner_gaze_angle_max,0.0032977331301892363,0.0019422311717867532,5.0,random_forest
p2_motion_energy_min,0.003291681264722198,0.0011358496369806128,5.0,random_forest
asymmetric_activity_score,0.003247092410486929,0.001059750886006219,5.0,random_forest
p1_task_gaze_ratio,0.003203058126105061,0.0013519068762423193,5.0,random_forest
p1_partner_gaze_count,0.0031826061874832743,0.0013746811906227563,5.0,random_forest
root_distance_std,0.003095115283936476,0.0010350844750520196,5.0,random_forest
unknown_gaze_ratio_mean,0.0030285845181135715,0.001449189834854803,5.0,random_forest
p2_closest_hand_to_other_head_mean,0.0030270543513729506,0.0011602059512881126,5.0,random_forest
p1_active_count,0.0030134847120113404,0.0019198590376856468,5.0,random_forest
p2_gaze_pitch_min,0.002953193913673787,0.0008052177195698345,5.0,random_forest
body_orientation_difference_rad_std,0.0029457060157035884,0.0014066671038206172,5.0,random_forest
hand_to_hand_min_max,0.0029159661160994463,0.0011475575837935383,5.0,random_forest
root_horizontal_distance_min,0.002825383290570952,0.0010800186140057044,5.0,random_forest
p2_gaze_pitch_mean,0.002783111102838585,0.0010696003791164721,5.0,random_forest
p1_gaze_pitch_mean,0.002699638031185281,0.0012916029889060623,5.0,random_forest
vertical_offset_abs_min,0.0026623680720936163,0.0009308970142227941,5.0,random_forest
p2_task_gaze_angle_mean,0.002637641340636441,0.0016004568301601506,5.0,random_forest
p2_task_gaze_count,0.002622020183229823,0.0015767395767710833,5.0,random_forest
vertical_offset_abs_mean,0.0025985943669146936,0.001291592659305355,5.0,random_forest
p1_gaze_category_switch_count,0.002546328579190895,0.00109787799031397,5.0,random_forest
p2_gaze_yaw_mean,0.002536537042476722,0.0011566426751915295,5.0,random_forest
p1_gaze_yaw_mean,0.0024981341039641745,0.0009853918087380984,5.0,random_forest
joint_attention_table_ratio,0.002474594112513264,0.001486240522865073,5.0,random_forest
p1_gaze_category_table_task_ratio,0.002473495651915736,0.0011187447623098204,5.0,random_forest
p1_active_transition_count,0.002444593426459104,0.001659066267242045,5.0,random_forest
p1_task_gaze_angle_mean,0.002422280082223958,0.0018794915472628714,5.0,random_forest
p2_gaze_yaw_std,0.0024012907841508466,0.0014352933213475456,5.0,random_forest
p1_gaze_category_unknown_ratio,0.002383829834870621,0.0019816344013468506,5.0,random_forest
activity_asymmetry_abs_mean,0.0023801754884747914,0.0009019472611238515,5.0,random_forest
p1_gaze_yaw_std,0.0023632067066168736,0.0010016689720178584,5.0,random_forest
p2_gaze_category_switch_count,0.0023619318248985963,0.0012336021354338988,5.0,random_forest
pair_motion_energy_min,0.0023615892981059816,0.0009509925829564908,5.0,random_forest
p1_gaze_switch_rate,0.0023572455663949665,0.0013716200119988557,5.0,random_forest
vertical_offset_abs_std,0.002344274799906445,0.0012266255364137607,5.0,random_forest
root_distance_min,0.0023162236261750437,0.0016991502949518914,5.0,random_forest
p2_gaze_category_away_unknown_ratio,0.002212450363059809,0.002533360319788246,5.0,random_forest
p1_active_ratio,0.0022122212503531504,0.0011005423046408262,5.0,random_forest
p1_task_gaze_angle_std,0.002181548918656443,0.0007570684318205744,5.0,random_forest
p1_motion_energy_mean,0.0019635700540280576,0.0010774775207272507,5.0,random_forest
p1_gaze_yaw_max,0.0018794745867837341,0.0006372695819094299,5.0,random_forest
activity_asymmetry_abs_max,0.0018718205547705407,0.0013648525851409112,5.0,random_forest
p1_partner_gaze_angle_mean,0.001806931671879582,0.001028497007030459,5.0,random_forest
hand_to_hand_min_std,0.0017987992593367919,0.001204016768924604,5.0,random_forest
p2_motion_speed_min,0.0017985576377477774,0.0012758150415575107,5.0,random_forest
p1_motion_speed_max,0.0017910997854576154,0.001460217814978089,5.0,random_forest
p2_gaze_category_unknown_ratio,0.0017900837685361677,0.00112125906400148,5.0,random_forest
p2_partner_gaze_angle_std,0.0017808908771713612,0.0010172831611631053,5.0,random_forest
pair_motion_energy_max,0.0017716347322452957,0.0008929348258751603,5.0,random_forest
body_orientation_difference_rad_mean,0.001754096750213402,0.001041590290789114,5.0,random_forest
p1_motion_speed_std,0.0016909060959109008,0.0012417066019749625,5.0,random_forest
p2_motion_energy_std,0.0016718301233622963,0.0006630290577761671,5.0,random_forest
dyadic_motion_synchrony_absmax,0.0016167527414547762,0.0011545283427729035,5.0,random_forest
mutual_gaze_cos_max,0.0015811865648169183,0.000899630475412201,5.0,random_forest
p1_partner_gaze_ratio,0.0015800609871568598,0.0008567660455226526,5.0,random_forest
p1_gaze_yaw_min,0.0015625928384517263,0.0009973574252123286,5.0,random_forest
p1_motion_speed_mean,0.0015532700860393378,0.0008527128336541586,5.0,random_forest
p2_task_gaze_angle_max,0.001535666423708217,0.0015049791607924326,5.0,random_forest
p1_gaze_category_partner_ratio,0.001517811123999661,0.0010951260559567942,5.0,random_forest
