feature,importance_mean,importance_std,window_size_s,model
p1_gaze_pitch_max,0.010265646802030395,0.0015934815450981907,5.0,random_forest
frame_gaze_valid_transition_count,0.010219111994271843,0.001800065177546908,5.0,random_forest
frame_pose_valid_ratio,0.009381867606809627,0.0031375134245321635,5.0,random_forest
frame_gaze_valid_count,0.009348100125195482,0.0030248664233746016,5.0,random_forest
p1_task_gaze_count,0.007890108250256564,0.0014409608645503634,5.0,random_forest
p2_gaze_yaw_min,0.007801152915579784,0.0033860196070166055,5.0,random_forest
root_distance_max,0.007726136935647156,0.003119459801325643,5.0,random_forest
p1_task_gaze_angle_max,0.007550093699507173,0.0023075643469796744,5.0,random_forest
frame_interaction_valid_count,0.0074692646816748864,0.0028243462755624615,5.0,random_forest
frame_pose_valid_count,0.007435578087973044,0.0024600772463202647,5.0,random_forest
p2_gaze_pitch_max,0.007431589138189476,0.0020330301645527017,5.0,random_forest
hand_to_hand_min_min,0.005636538652023422,0.0028076664137858757,5.0,random_forest
frame_interaction_valid_ratio,0.005622575590026935,0.003045391195737898,5.0,random_forest
p2_motion_speed_std,0.004991998054027409,0.0016507462422155929,5.0,random_forest
p1_gaze_pitch_min,0.004824399843579778,0.0008026324415926148,5.0,random_forest
root_horizontal_distance_max,0.004588893688170985,0.002183866570441196,5.0,random_forest
p2_gaze_category_table_task_ratio,0.00440634957315313,0.002215131894382267,5.0,random_forest
p2_motion_energy_max,0.004211509041300345,0.0007371337194985569,5.0,random_forest
body_orientation_difference_rad_max,0.0040186252741018225,0.001156454941513496,5.0,random_forest
p1_gaze_category_away_unknown_ratio,0.0038918156004171625,0.001039309934556881,5.0,random_forest
root_horizontal_distance_mean,0.0038566279121160876,0.001905793349694435,5.0,random_forest
p2_closest_hand_to_other_head_max,0.00374328883544243,0.0011217471735953065,5.0,random_forest
root_distance_mean,0.0037202453254946235,0.0011808346086627254,5.0,random_forest
gaze_switch_rate_mean,0.003540134696646463,0.0014582361414352547,5.0,random_forest
p2_gaze_switch_rate,0.003305731688447583,0.001299130923080204,5.0,random_forest
p1_partner_gaze_angle_max,0.0032977331301892363,0.0019422311717867532,5.0,random_forest
p2_motion_energy_min,0.003291681264722198,0.0011358496369806128,5.0,random_forest
asymmetric_activity_score,0.003247092410486929,0.001059750886006219,5.0,random_forest
p1_task_gaze_ratio,0.003203058126105061,0.0013519068762423193,5.0,random_forest
p1_partner_gaze_count,0.0031826061874832743,0.0013746811906227563,5.0,random_forest
