window_size_s,condition_label,n,ngram,count
1.0,baseline,2,BT01->BT01,1060
1.0,baseline,2,BT00->BT00,613
1.0,baseline,2,BT00->BT01,233
1.0,baseline,2,BT01->BT00,231
1.0,baseline,3,BT01->BT01->BT01,906
1.0,baseline,3,BT00->BT00->BT00,465
1.0,baseline,3,BT00->BT01->BT01,151
1.0,baseline,3,BT01->BT01->BT00,150
1.0,baseline,3,BT01->BT00->BT00,143
1.0,baseline,3,BT00->BT00->BT01,143
1.0,baseline,3,BT01->BT00->BT01,88
1.0,baseline,3,BT00->BT01->BT00,80
1.0,competitive,2,BT00->BT00,2981
1.0,competitive,2,BT01->BT01,1105
1.0,competitive,2,BT00->BT01,548
1.0,competitive,2,BT01->BT00,539
1.0,competitive,3,BT00->BT00->BT00,2594
1.0,competitive,3,BT01->BT01->BT01,813
1.0,competitive,3,BT00->BT00->BT01,374
1.0,competitive,3,BT01->BT00->BT00,368
1.0,competitive,3,BT00->BT01->BT01,285
1.0,competitive,3,BT01->BT01->BT00,283
1.0,competitive,3,BT00->BT01->BT00,254
1.0,competitive,3,BT01->BT00->BT01,169
