pair_id,session_id,order,condition_label,window_size_s,sequence_entropy,n_tokens,n_unique_tokens
dyad_001,20260504_183351_order1,1,baseline,1.0,0.6136190167139808,66,2
dyad_001,20260504_183529_order2,2,competitive,1.0,0.40164305751411444,263,2
dyad_001,20260504_184034_order3,3,competitive,1.0,0.45969420991025023,103,2
dyad_001,20260504_184304_order4,4,competitive,1.0,0.34450091296731095,202,2
dyad_002,20260505_190850_order1,1,baseline,1.0,0.9651061605965283,210,2
dyad_002,20260505_191548_order2,2,competitive,1.0,0.7775398612753699,74,2
dyad_002,20260505_191759_order3,3,competitive,1.0,0.7642045036232302,63,2
dyad_002,20260505_192656_order4,4,competitive,1.0,0.9808778569859944,277,2
dyad_003,20260507_134304_order1,1,baseline,1.0,0.7207360172493147,336,2
dyad_003,20260507_135022_order2,2,competitive,1.0,0.8554508076747406,75,2
dyad_003,20260507_135244_order3,3,competitive,1.0,0.9612366018374858,39,2
dyad_003,20260507_135359_order4,4,competitive,1.0,0.9456603017152501,88,2
dyad_004,20260507_141202_order1,1,baseline,1.0,0.6562697149998912,431,2
dyad_004,20260507_142235_order2,2,competitive,1.0,0.8153375794367339,388,2
dyad_004,20260507_143033_order3,3,competitive,1.0,0.936176488749359,210,2
dyad_004,20260507_143442_order4,4,competitive,1.0,0.9486131953531904,49,2
dyad_005,20260507_151153_order1,1,baseline,1.0,0.9972496300850807,81,2
dyad_005,20260507_151733_order2,2,competitive,1.0,0.8224042230695989,140,2
dyad_005,20260507_152058_order3,3,competitive,1.0,0.9143242435463919,85,2
dyad_005,20260507_152317_order4,4,competitive,1.0,0.9616629263492993,122,2
dyad_006,20260507_154437_order1,1,baseline,1.0,0.7153220499184949,61,2
dyad_006,20260507_154803_order2,2,competitive,1.0,0.5828117753285189,294,2
dyad_006,20260507_155406_order3,3,competitive,1.0,0.6242740981276489,77,2
dyad_006,20260507_155542_order4,4,competitive,1.0,0.6136190167139808,33,2
dyad_007,20260510_112436_order1,1,baseline,1.0,0.2918182537134958,78,2
dyad_007,20260510_112937_order2,2,competitive,1.0,0.42765899933978246,206,2
dyad_007,20260510_113403_order3,3,competitive,1.0,0.6781140494752159,134,2
dyad_007,20260510_113658_order4,4,competitive,1.0,0.5051655953281553,698,2
dyad_008,20260510_121708_order1,1,baseline,1.0,0.8471074876439859,73,2
dyad_008,20260510_122126_order2,2,competitive,1.0,0.9216597005596293,196,2
dyad_008,20260510_122534_order3,3,competitive,1.0,0.9995601734079637,162,2
dyad_008,20260510_122925_order4,4,competitive,1.0,0.8761686445069627,338,2
dyad_009,20260510_140907_order1,1,baseline,1.0,0.9509560455695825,540,2
dyad_009,20260510_141947_order2,2,competitive,1.0,0.9961812347038612,110,2
dyad_009,20260510_142206_order3,3,competitive,1.0,0.8708644663499745,72,2
dyad_009,20260510_142353_order4,4,competitive,1.0,0.9023932799095887,66,2
dyad_010,20260510_144735_order1,1,baseline,1.0,0.9766349085586199,78,2
dyad_010,20260510_145002_order2,2,competitive,1.0,0.9918977386675445,85,2
dyad_010,20260510_145207_order3,3,competitive,1.0,0.9992158763364927,91,2
dyad_010,20260510_145409_order4,4,competitive,1.0,0.9163792808974672,175,2
dyad_011,20260510_154339_order1,1,baseline,1.0,0.988931803361585,194,2
dyad_011,20260510_154923_order2,2,competitive,1.0,0.7414827370458836,100,2
dyad_011,20260510_155222_order3,3,competitive,1.0,0.3533593321360313,120,2
dyad_011,20260510_155501_order4,4,competitive,1.0,0.9826154256672217,71,2
