session_a,session_b,cosine_similarity
20260504_183351_order1,20260504_183529_order2,0.9998078206375085
20260504_183351_order1,20260504_184034_order3,0.9999999989999999
20260504_183351_order1,20260504_184304_order4,0.9999999989999999
20260504_183351_order1,20260505_190850_order1,0.9647638200531168
20260504_183351_order1,20260505_191548_order2,0.9999999989999999
20260504_183351_order1,20260505_191759_order3,0.9805806745370741
20260504_183351_order1,20260505_192656_order4,0.9463498548666099
20260504_183351_order1,20260507_134304_order1,0.2771606509590606
20260504_183351_order1,20260507_135022_order2,0.3417430626487482
20260504_183351_order1,20260507_135244_order3,0.7999999988800001
20260504_183351_order1,20260507_135359_order4,0.6643638378919887
20260504_183351_order1,20260507_141202_order1,0.37922341698917417
20260504_183351_order1,20260507_142235_order2,0.4332944342896262
20260504_183351_order1,20260507_143033_order3,0.8269265009207316
20260504_183351_order1,20260507_143442_order4,0.961523946452144
20260504_183351_order1,20260507_151153_order1,0.9977851567946621
20260504_183351_order1,20260507_151733_order2,0.9999999989999999
20260504_183351_order1,20260507_152058_order3,0.9557790075273556
20260504_183351_order1,20260507_152317_order4,0.9805806745370741
20260504_183351_order1,20260507_154437_order1,0.9999999989999999
20260504_183351_order1,20260507_154803_order2,0.9998461409927826
20260504_183351_order1,20260507_155406_order3,0.9999999989999999
20260504_183351_order1,20260507_155542_order4,0.9999999989999999
20260504_183351_order1,20260510_112436_order1,0.9999999989999999
20260504_183351_order1,20260510_112937_order2,0.9996876453837631
20260504_183351_order1,20260510_113403_order3,0.9992009576834509
20260504_183351_order1,20260510_113658_order4,0.998983967987954
20260504_183351_order1,20260510_121708_order1,0.26311740546903184
20260504_183351_order1,20260510_122126_order2,0.9453729804243592
20260504_183351_order1,20260510_122534_order3,0.9486832968505138
20260504_183351_order1,20260510_122925_order4,0.9849570235059736
20260504_183351_order1,20260510_140907_order1,0.5219648695273094
20260504_183351_order1,20260510_141947_order2,0.7071067801865475
20260504_183351_order1,20260510_142206_order3,0.26311740546903184
20260504_183351_order1,20260510_142353_order4,0.4061384655173652
20260504_183351_order1,20260510_144735_order1,0.8944271897999159
20260504_183351_order1,20260510_145002_order2,0.8192319193781009
20260504_183351_order1,20260510_145207_order3,0.933345604996874
20260504_183351_order1,20260510_145409_order4,0.9792604183497481
20260504_183351_order1,20260510_154339_order1,0.8637788997170863
20260504_183351_order1,20260510_154923_order2,0.998617828282786
20260504_183351_order1,20260510_155222_order3,0.9990561573135501
20260504_183351_order1,20260510_155501_order4,0.9970544844309933
20260504_183529_order2,20260504_184034_order3,0.9998078206375085
20260504_183529_order2,20260504_184304_order4,0.9998078206375085
20260504_183529_order2,20260505_190850_order1,0.9697365866507844
20260504_183529_order2,20260505_191548_order2,0.9998078206375085
20260504_183529_order2,20260505_191759_order3,0.9842369035496904
20260504_183529_order2,20260505_192656_order4,0.95250292320236
20260504_183529_order2,20260507_134304_order1,0.2959434443342008
20260504_183529_order2,20260507_135022_order2,0.36010116769753986
20260504_183529_order2,20260507_135244_order3,0.811608701127738
20260504_183529_order2,20260507_135359_order4,0.6788884298011771
20260504_183529_order2,20260507_141202_order1,0.39729028970297275
20260504_183529_order2,20260507_142235_order2,0.4508793845130768
20260504_183529_order2,20260507_143033_order3,0.8377911513139243
20260504_183529_order2,20260507_143442_order4,0.9667248159206134
20260504_183529_order2,20260507_151153_order1,0.9988974477411324
20260504_183529_order2,20260507_151733_order2,0.9998078206375085
20260504_183529_order2,20260507_152058_order3,0.9613606084883916
20260504_183529_order2,20260507_152317_order4,0.9842369035496904
20260504_183529_order2,20260507_154437_order1,0.9998078206375085
20260504_183529_order2,20260507_154803_order2,0.9999978704204239
20260504_183529_order2,20260507_155406_order3,0.9998078206375085
20260504_183529_order2,20260507_155542_order4,0.9998078206375085
20260504_183529_order2,20260510_112436_order1,0.9998078206375085
20260504_183529_order2,20260510_112937_order2,0.999985475836168
20260504_183529_order2,20260510_113403_order3,0.9997924692965958
20260504_183529_order2,20260510_113658_order4,0.9996754806687328
20260504_183529_order2,20260510_121708_order1,0.281980142217604
20260504_183529_order2,20260510_122126_order2,0.951582045963319
20260504_183529_order2,20260510_122534_order3,0.9547003332562947
20260504_183529_order2,20260510_122925_order4,0.9881553099863729
20260504_183529_order2,20260510_140907_order1,0.5385861877990417
20260504_183529_order2,20260510_141947_order2,0.7208330638626553
20260504_183529_order2,20260510_142206_order3,0.281980142217604
20260504_183529_order2,20260510_142353_order4,0.42397484454052536
20260504_183529_order2,20260510_144735_order1,0.9030225090670029
20260504_183529_order2,20260510_145002_order2,0.8303166794779534
20260504_183529_order2,20260510_145207_order3,0.9402036889227905
20260504_183529_order2,20260510_145409_order4,0.9830441211213262
20260504_183529_order2,20260510_154339_order1,0.8734908254241529
20260504_183529_order2,20260510_154923_order2,0.9994562828445095
20260504_183529_order2,20260510_155222_order3,0.9997157069349367
20260504_183529_order2,20260510_155501_order4,0.998366436040942
20260504_184034_order3,20260504_184304_order4,0.9999999989999999
20260504_184034_order3,20260505_190850_order1,0.9647638200531168
20260504_184034_order3,20260505_191548_order2,0.9999999989999999
20260504_184034_order3,20260505_191759_order3,0.9805806745370741
20260504_184034_order3,20260505_192656_order4,0.9463498548666099
20260504_184034_order3,20260507_134304_order1,0.2771606509590606
20260504_184034_order3,20260507_135022_order2,0.3417430626487482
20260504_184034_order3,20260507_135244_order3,0.7999999988800001
20260504_184034_order3,20260507_135359_order4,0.6643638378919887
20260504_184034_order3,20260507_141202_order1,0.37922341698917417
20260504_184034_order3,20260507_142235_order2,0.4332944342896262
20260504_184034_order3,20260507_143033_order3,0.8269265009207316
20260504_184034_order3,20260507_143442_order4,0.961523946452144
20260504_184034_order3,20260507_151153_order1,0.9977851567946621
20260504_184034_order3,20260507_151733_order2,0.9999999989999999
20260504_184034_order3,20260507_152058_order3,0.9557790075273556
20260504_184034_order3,20260507_152317_order4,0.9805806745370741
20260504_184034_order3,20260507_154437_order1,0.9999999989999999
20260504_184034_order3,20260507_154803_order2,0.9998461409927826
20260504_184034_order3,20260507_155406_order3,0.9999999989999999
20260504_184034_order3,20260507_155542_order4,0.9999999989999999
20260504_184034_order3,20260510_112436_order1,0.9999999989999999
20260504_184034_order3,20260510_112937_order2,0.9996876453837631
20260504_184034_order3,20260510_113403_order3,0.9992009576834509
20260504_184034_order3,20260510_113658_order4,0.998983967987954
20260504_184034_order3,20260510_121708_order1,0.26311740546903184
20260504_184034_order3,20260510_122126_order2,0.9453729804243592
20260504_184034_order3,20260510_122534_order3,0.9486832968505138
20260504_184034_order3,20260510_122925_order4,0.9849570235059736
20260504_184034_order3,20260510_140907_order1,0.5219648695273094
20260504_184034_order3,20260510_141947_order2,0.7071067801865475
20260504_184034_order3,20260510_142206_order3,0.26311740546903184
20260504_184034_order3,20260510_142353_order4,0.4061384655173652
20260504_184034_order3,20260510_144735_order1,0.8944271897999159
20260504_184034_order3,20260510_145002_order2,0.8192319193781009
