window_size_s,pair_id,session_id,order,condition_label,behavior_token,count,frequency
1.0,dyad_001,20260504_183351_order1,1,baseline,BT00,56,0.8484848484848485
1.0,dyad_001,20260504_183351_order1,1,baseline,BT01,10,0.15151515151515152
1.0,dyad_001,20260504_183529_order2,2,competitive,BT00,242,0.9201520912547528
1.0,dyad_001,20260504_183529_order2,2,competitive,BT01,21,0.07984790874524715
1.0,dyad_001,20260504_184034_order3,3,competitive,BT00,93,0.9029126213592233
1.0,dyad_001,20260504_184034_order3,3,competitive,BT01,10,0.0970873786407767
1.0,dyad_001,20260504_184304_order4,4,competitive,BT00,189,0.9356435643564357
1.0,dyad_001,20260504_184304_order4,4,competitive,BT01,13,0.06435643564356436
1.0,dyad_002,20260505_190850_order1,1,baseline,BT00,128,0.6095238095238096
1.0,dyad_002,20260505_190850_order1,1,baseline,BT01,82,0.3904761904761905
1.0,dyad_002,20260505_191548_order2,2,competitive,BT00,57,0.7702702702702703
1.0,dyad_002,20260505_191548_order2,2,competitive,BT01,17,0.22972972972972974
1.0,dyad_002,20260505_191759_order3,3,competitive,BT00,49,0.7777777777777778
1.0,dyad_002,20260505_191759_order3,3,competitive,BT01,14,0.2222222222222222
1.0,dyad_002,20260505_192656_order4,4,competitive,BT00,161,0.5812274368231047
1.0,dyad_002,20260505_192656_order4,4,competitive,BT01,116,0.4187725631768953
1.0,dyad_003,20260507_134304_order1,1,baseline,BT00,67,0.19940476190476192
1.0,dyad_003,20260507_134304_order1,1,baseline,BT01,269,0.8005952380952381
1.0,dyad_003,20260507_135022_order2,2,competitive,BT00,21,0.28
1.0,dyad_003,20260507_135022_order2,2,competitive,BT01,54,0.72
1.0,dyad_003,20260507_135244_order3,3,competitive,BT00,15,0.38461538461538464
1.0,dyad_003,20260507_135244_order3,3,competitive,BT01,24,0.6153846153846154
1.0,dyad_003,20260507_135359_order4,4,competitive,BT00,32,0.36363636363636365
1.0,dyad_003,20260507_135359_order4,4,competitive,BT01,56,0.6363636363636364
1.0,dyad_004,20260507_141202_order1,1,baseline,BT00,73,0.16937354988399073
1.0,dyad_004,20260507_141202_order1,1,baseline,BT01,358,0.8306264501160093
1.0,dyad_004,20260507_142235_order2,2,competitive,BT00,98,0.25257731958762886
1.0,dyad_004,20260507_142235_order2,2,competitive,BT01,290,0.7474226804123711
1.0,dyad_004,20260507_143033_order3,3,competitive,BT00,74,0.3523809523809524
1.0,dyad_004,20260507_143033_order3,3,competitive,BT01,136,0.6476190476190476
1.0,dyad_004,20260507_143442_order4,4,competitive,BT00,18,0.3673469387755102
1.0,dyad_004,20260507_143442_order4,4,competitive,BT01,31,0.6326530612244898
1.0,dyad_005,20260507_151153_order1,1,baseline,BT00,43,0.5308641975308642
1.0,dyad_005,20260507_151153_order1,1,baseline,BT01,38,0.4691358024691358
1.0,dyad_005,20260507_151733_order2,2,competitive,BT00,104,0.7428571428571429
1.0,dyad_005,20260507_151733_order2,2,competitive,BT01,36,0.2571428571428571
1.0,dyad_005,20260507_152058_order3,3,competitive,BT00,57,0.6705882352941176
1.0,dyad_005,20260507_152058_order3,3,competitive,BT01,28,0.32941176470588235
1.0,dyad_005,20260507_152317_order4,4,competitive,BT00,75,0.6147540983606558
1.0,dyad_005,20260507_152317_order4,4,competitive,BT01,47,0.38524590163934425
1.0,dyad_006,20260507_154437_order1,1,baseline,BT00,49,0.8032786885245902
1.0,dyad_006,20260507_154437_order1,1,baseline,BT01,12,0.19672131147540983
1.0,dyad_006,20260507_154803_order2,2,competitive,BT00,253,0.8605442176870748
1.0,dyad_006,20260507_154803_order2,2,competitive,BT01,41,0.13945578231292516
1.0,dyad_006,20260507_155406_order3,3,competitive,BT00,65,0.8441558441558441
1.0,dyad_006,20260507_155406_order3,3,competitive,BT01,12,0.15584415584415584
1.0,dyad_006,20260507_155542_order4,4,competitive,BT00,28,0.8484848484848485
1.0,dyad_006,20260507_155542_order4,4,competitive,BT01,5,0.15151515151515152
1.0,dyad_007,20260510_112436_order1,1,baseline,BT00,74,0.9487179487179487
1.0,dyad_007,20260510_112436_order1,1,baseline,BT01,4,0.05128205128205128
1.0,dyad_007,20260510_112937_order2,2,competitive,BT00,188,0.912621359223301
1.0,dyad_007,20260510_112937_order2,2,competitive,BT01,18,0.08737864077669903
1.0,dyad_007,20260510_113403_order3,3,competitive,BT00,110,0.8208955223880597
1.0,dyad_007,20260510_113403_order3,3,competitive,BT01,24,0.1791044776119403
1.0,dyad_007,20260510_113658_order4,4,competitive,BT00,620,0.8882521489971347
1.0,dyad_007,20260510_113658_order4,4,competitive,BT01,78,0.11174785100286533
1.0,dyad_008,20260510_121708_order1,1,baseline,BT00,20,0.273972602739726
1.0,dyad_008,20260510_121708_order1,1,baseline,BT01,53,0.726027397260274
1.0,dyad_008,20260510_122126_order2,2,competitive,BT00,130,0.6632653061224489
1.0,dyad_008,20260510_122126_order2,2,competitive,BT01,66,0.336734693877551
1.0,dyad_008,20260510_122534_order3,3,competitive,BT00,83,0.5123456790123457
1.0,dyad_008,20260510_122534_order3,3,competitive,BT01,79,0.4876543209876543
1.0,dyad_008,20260510_122925_order4,4,competitive,BT00,238,0.7041420118343196
1.0,dyad_008,20260510_122925_order4,4,competitive,BT01,100,0.2958579881656805
1.0,dyad_009,20260510_140907_order1,1,baseline,BT00,200,0.37037037037037035
1.0,dyad_009,20260510_140907_order1,1,baseline,BT01,340,0.6296296296296297
1.0,dyad_009,20260510_141947_order2,2,competitive,BT00,59,0.5363636363636364
1.0,dyad_009,20260510_141947_order2,2,competitive,BT01,51,0.4636363636363636
1.0,dyad_009,20260510_142206_order3,3,competitive,BT00,21,0.2916666666666667
1.0,dyad_009,20260510_142206_order3,3,competitive,BT01,51,0.7083333333333334
1.0,dyad_009,20260510_142353_order4,4,competitive,BT00,21,0.3181818181818182
1.0,dyad_009,20260510_142353_order4,4,competitive,BT01,45,0.6818181818181818
1.0,dyad_010,20260510_144735_order1,1,baseline,BT00,32,0.41025641025641024
1.0,dyad_010,20260510_144735_order1,1,baseline,BT01,46,0.5897435897435898
1.0,dyad_010,20260510_145002_order2,2,competitive,BT00,47,0.5529411764705883
1.0,dyad_010,20260510_145002_order2,2,competitive,BT01,38,0.4470588235294118
1.0,dyad_010,20260510_145207_order3,3,competitive,BT00,47,0.5164835164835165
