pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_001,20260504_183351_order1,1,baseline,2.0,BT00,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,BT01,BT00,2
dyad_001,20260504_183351_order1,1,baseline,2.0,BT01,BT01,29
dyad_001,20260504_183529_order2,2,competitive,2.0,BT00,BT01,3
dyad_001,20260504_183529_order2,2,competitive,2.0,BT01,BT00,3
dyad_001,20260504_183529_order2,2,competitive,2.0,BT01,BT01,124
dyad_001,20260504_184034_order3,3,competitive,2.0,BT00,BT00,1
dyad_001,20260504_184034_order3,3,competitive,2.0,BT00,BT01,2
dyad_001,20260504_184034_order3,3,competitive,2.0,BT01,BT00,2
dyad_001,20260504_184034_order3,3,competitive,2.0,BT01,BT01,45
dyad_001,20260504_184304_order4,4,competitive,2.0,BT00,BT01,3
dyad_001,20260504_184304_order4,4,competitive,2.0,BT01,BT00,3
dyad_001,20260504_184304_order4,4,competitive,2.0,BT01,BT01,94
dyad_002,20260505_190850_order1,1,baseline,2.0,BT00,BT00,24
dyad_002,20260505_190850_order1,1,baseline,2.0,BT00,BT01,14
dyad_002,20260505_190850_order1,1,baseline,2.0,BT01,BT00,15
dyad_002,20260505_190850_order1,1,baseline,2.0,BT01,BT01,51
dyad_002,20260505_191548_order2,2,competitive,2.0,BT00,BT00,1
dyad_002,20260505_191548_order2,2,competitive,2.0,BT00,BT01,5
dyad_002,20260505_191548_order2,2,competitive,2.0,BT01,BT00,5
dyad_002,20260505_191548_order2,2,competitive,2.0,BT01,BT01,25
dyad_002,20260505_191759_order3,3,competitive,2.0,BT00,BT00,3
dyad_002,20260505_191759_order3,3,competitive,2.0,BT00,BT01,2
dyad_002,20260505_191759_order3,3,competitive,2.0,BT01,BT00,2
dyad_002,20260505_191759_order3,3,competitive,2.0,BT01,BT01,23
dyad_002,20260505_192656_order4,4,competitive,2.0,BT00,BT00,31
dyad_002,20260505_192656_order4,4,competitive,2.0,BT00,BT01,16
dyad_002,20260505_192656_order4,4,competitive,2.0,BT01,BT00,16
dyad_002,20260505_192656_order4,4,competitive,2.0,BT01,BT01,74
dyad_003,20260507_134304_order1,1,baseline,2.0,BT00,BT00,121
dyad_003,20260507_134304_order1,1,baseline,2.0,BT00,BT01,15
dyad_003,20260507_134304_order1,1,baseline,2.0,BT01,BT00,15
dyad_003,20260507_134304_order1,1,baseline,2.0,BT01,BT01,16
dyad_003,20260507_135022_order2,2,competitive,2.0,BT00,BT00,20
dyad_003,20260507_135022_order2,2,competitive,2.0,BT00,BT01,6
dyad_003,20260507_135022_order2,2,competitive,2.0,BT01,BT00,7
dyad_003,20260507_135022_order2,2,competitive,2.0,BT01,BT01,3
dyad_003,20260507_135244_order3,3,competitive,2.0,BT00,BT00,9
dyad_003,20260507_135244_order3,3,competitive,2.0,BT00,BT01,2
dyad_003,20260507_135244_order3,3,competitive,2.0,BT01,BT00,2
dyad_003,20260507_135244_order3,3,competitive,2.0,BT01,BT01,5
dyad_003,20260507_135359_order4,4,competitive,2.0,BT00,BT00,22
