session_label,window_idx,cluster
20260504_183351_order1,0,3
20260504_183351_order1,30,0
20260504_183351_order1,60,0
20260504_183351_order1,510,0
20260504_183351_order1,540,2
20260504_183351_order1,600,2
20260504_183351_order1,630,2
20260504_183351_order1,660,0
20260504_183351_order1,690,5
20260504_183351_order1,810,5
20260504_183351_order1,840,5
20260504_183351_order1,990,0
20260504_183351_order1,1020,0
20260504_183351_order1,1260,5
20260504_183351_order1,1290,5
20260504_183351_order1,1380,0
20260504_183351_order1,1410,5
20260504_183351_order1,1440,5
20260504_183351_order1,1470,5
20260504_183351_order1,1500,3
20260504_183351_order1,1530,4
20260504_183529_order2,90,2
20260504_183529_order2,120,3
20260504_183529_order2,150,5
20260504_183529_order2,180,5
20260504_183529_order2,210,5
20260504_183529_order2,240,5
20260504_183529_order2,270,5
20260504_183529_order2,300,5
20260504_183529_order2,330,5
20260504_183529_order2,360,5
20260504_183529_order2,570,5
20260504_183529_order2,600,5
20260504_183529_order2,630,5
20260504_183529_order2,660,3
20260504_183529_order2,690,5
20260504_183529_order2,720,5
20260504_183529_order2,750,3
20260504_183529_order2,780,5
20260504_183529_order2,900,4
20260504_183529_order2,930,5
20260504_183529_order2,960,5
20260504_183529_order2,990,5
20260504_183529_order2,1020,4
20260504_183529_order2,1050,5
20260504_183529_order2,1170,5
20260504_183529_order2,1200,5
20260504_183529_order2,1320,4
20260504_183529_order2,1350,4
20260504_183529_order2,1380,5
20260504_183529_order2,1410,5
20260504_183529_order2,1440,5
20260504_183529_order2,1470,5
20260504_183529_order2,1500,5
20260504_183529_order2,1530,4
20260504_183529_order2,1590,4
20260504_183529_order2,1620,5
20260504_183529_order2,1650,5
20260504_183529_order2,1680,5
20260504_183529_order2,1710,5
20260504_183529_order2,1740,5
20260504_183529_order2,1770,5
20260504_183529_order2,1800,5
20260504_183529_order2,1830,5
20260504_183529_order2,2040,5
20260504_183529_order2,2070,5
20260504_183529_order2,2160,5
20260504_183529_order2,2190,5
20260504_183529_order2,2430,5
20260504_183529_order2,2460,5
20260504_183529_order2,2490,5
20260504_183529_order2,2520,5
20260504_183529_order2,2550,5
20260504_183529_order2,2610,5
20260504_183529_order2,2640,5
20260504_183529_order2,2670,5
20260504_183529_order2,2700,5
20260504_183529_order2,2730,5
20260504_183529_order2,2760,5
20260504_183529_order2,2790,5
20260504_183529_order2,3120,5
20260504_183529_order2,3150,5
20260504_183529_order2,3180,5
20260504_183529_order2,3990,5
20260504_183529_order2,4020,5
20260504_183529_order2,4200,5
20260504_183529_order2,4230,5
20260504_183529_order2,4260,3
20260504_183529_order2,4290,5
20260504_183529_order2,4410,5
20260504_183529_order2,4440,5
20260504_183529_order2,4530,5
20260504_183529_order2,4560,5
20260504_183529_order2,4590,5
20260504_183529_order2,4800,5
20260504_183529_order2,4830,5
20260504_183529_order2,4860,5
20260504_183529_order2,4890,5
20260504_183529_order2,5010,5
20260504_183529_order2,5040,5
20260504_183529_order2,5070,5
20260504_183529_order2,5100,2
20260504_183529_order2,5130,5
20260504_183529_order2,5160,5
20260504_183529_order2,5190,5
20260504_183529_order2,5220,5
20260504_183529_order2,5250,5
20260504_183529_order2,5310,5
20260504_183529_order2,5340,5
20260504_183529_order2,5370,5
20260504_183529_order2,5400,5
20260504_183529_order2,5430,2
20260504_183529_order2,5460,5
20260504_183529_order2,5490,5
20260504_183529_order2,5520,5
20260504_183529_order2,5850,5
20260504_183529_order2,5880,4
20260504_183529_order2,5940,5
20260504_183529_order2,5970,5
20260504_183529_order2,6000,5
20260504_183529_order2,6030,5
20260504_183529_order2,6060,5
20260504_183529_order2,6090,5
20260504_183529_order2,6120,5
20260504_183529_order2,6150,5
20260504_183529_order2,6180,5
20260504_183529_order2,6210,3
20260504_184034_order3,120,5
20260504_184034_order3,150,5
20260504_184034_order3,180,5
20260504_184034_order3,210,5
20260504_184034_order3,240,5
20260504_184034_order3,270,5
20260504_184034_order3,300,5
20260504_184034_order3,330,5
20260504_184034_order3,360,5
20260504_184034_order3,450,5
